Seychelles,Ireland,{'weight': 1}
Russia,Norway,{'weight': 1}
Russia,Georgia,{'weight': 1}
Russia,Ukraine,{'weight': 1}
Russia,Netherlands,{'weight': 1}
Mexico,Brazil,{'weight': 2}
Mexico,Argentina,{'weight': 1}
Mexico,Honduras,{'weight': 1}
Mexico,Uruguay,{'weight': 1}
Mexico,Cuba,{'weight': 1}
Mexico,Spain,{'weight': 5}
Mexico,Bolivia,{'weight': 1}
India,Asia,{'weight': 2}
India,Africa,{'weight': 2}
India,Maldives,{'weight': 2}
India,Panama,{'weight': 1}
India,Syria,{'weight': 1}
India,Japan,{'weight': 1}
India,North America,{'weight': 1}
India,Brazil,{'weight': 1}
India,Spain,{'weight': 2}
Maldives,Australia,{'weight': 1}
Maldives,Africa,{'weight': 2}
Maldives,Mauritius,{'weight': 1}
Maldives,Philippines,{'weight': 1}
Maldives,North America,{'weight': 1}
Maldives,Ireland,{'weight': 1}
Maldives,Asia,{'weight': 1}
Ireland,Australia,{'weight': 1}
Ireland,Somalia,{'weight': 1}
Ireland,Africa,{'weight': 1}
Ireland,Mali,{'weight': 1}
Japan,North America,{'weight': 1}
Japan,Singapore,{'weight': 1}
Japan,North Korea,{'weight': 1}
North America,Australia,{'weight': 1}
Spain,Malta,{'weight': 1}
Spain,South Korea,{'weight': 1}
Spain,Cuba,{'weight': 1}
Spain,Norway,{'weight': 1}
Spain,Denmark,{'weight': 1}
Spain,Brazil,{'weight': 1}
Spain,Argentina,{'weight': 3}
Spain,Mali,{'weight': 1}
Spain,Bolivia,{'weight': 1}
Africa,Australia,{'weight': 1}
Africa,Georgia,{'weight': 1}
Africa,Jamaica,{'weight': 2}
Africa,Barbados,{'weight': 1}
Africa,Sierra Leone,{'weight': 1}
Africa,Portugal,{'weight': 1}
Africa,Nigeria,{'weight': 1}
Africa,Mauritius,{'weight': 1}
Africa,South Africa,{'weight': 3}
Africa,Gambia,{'weight': 2}
Africa,Central African Republic,{'weight': 1}
Africa,Niger,{'weight': 1}
Africa,Asia,{'weight': 5}
Africa,South America,{'weight': 1}
Indonesia,Netherlands,{'weight': 1}
Brazil,Chile,{'weight': 1}
Brazil,Argentina,{'weight': 2}
Brazil,Portugal,{'weight': 1}
Brazil,Uruguay,{'weight': 1}
Brazil,Cuba,{'weight': 1}
Asia,Niger,{'weight': 1}
Asia,Nigeria,{'weight': 1}
Argentina,Chile,{'weight': 2}
Argentina,South Korea,{'weight': 1}
Argentina,Cuba,{'weight': 1}
Argentina,Bolivia,{'weight': 1}
Netherlands,Norway,{'weight': 1}
Gambia,Portugal,{'weight': 1}
Australia,New Zealand,{'weight': 4}
Australia,South America,{'weight': 1}
Chile,Bolivia,{'weight': 1}
Norway,Denmark,{'weight': 2}
Norway,Finland,{'weight': 1}
Norway,Iceland,{'weight': 2}
Kenya,Niger,{'weight': 1}
Kenya,Nigeria,{'weight': 1}
