Country,Abreviation,Capital.City,Continent,nationality
South Africa,ZAF,Cape Town,Africa,South African
South Korea,KOR,Seoul,Asia,South Korean
South Sudan,SSD,Juba,Africa,South Sudanese
Spain,ESP,Madrid,Europe,Spanish
Sri Lanka,LKA,Sri Jayawardenepura Kotte,Asia,Sri Lankan
St. Vincent & Grenadines,VCT,Kingstown,N. America,"Saint Vincentian, Vincentian"
State of Palestine,PSE,Ramallah,Asia,Palestinian
Sudan,SDN,Khartoum,Africa,Sudanese
Suriname,SUR,Paramaribo,S. America,Surinamese
Sweden,SWE,Stockholm,Europe,Swedish
Switzerland,CHE,Bern,Europe,Swiss
Syria,SYR,Damascus,Asia,Syrian
Tajikistan,TJK,Dushanbe,Asia,Tajikistani
Tanzania,TZA,Dodoma,Africa,Tanzanian
Thailand,THA,Bangkok,Asia,Thai
Timor-Leste,TLS,Dili,Asia,Timorese
Togo,TGO,Lomé,Africa,Togolese
Tonga,TON,Nuku'alofa,Australia,Tongan
Trinidad and Tobago,TTO,Port of Spain,N. America,Trinidadian or Tobagonian
Tunisia,TUN,Tunis,Africa,Tunisian
Turkey,TUR,Ankara,Asia,Turkish
Turkmenistan,TKM,Ashgabat,Asia,Turkmen
Tuvalu,TUV,Funafuti,Australia,Tuvaluan
Uganda,UGA,Kampala,Africa,Ugandan
Ukraine,UKR,Kyiv,Europe,Ukrainian
United Arab Emirates,ARE,Abu Dhabi,Asia,"Emirati, Emirian, Emiri"
United Kingdom,GBR,London,Europe,"British, UK"
United States,USA,Washington DC,N. America,American
Uruguay,URY,Montevideo,S. America,Uruguayan
Uzbekistan,UZB,Tashkent,Asia,"Uzbekistani, Uzbek"
Vanuatu,VUT,Port Vila,Australia,"Ni-Vanuatu, Vanuatuan"
Venezuela,VEN,Caracas,S. America,Venezuelan
Vietnam,VNM,Hanoi,Asia,Vietnamese
Yemen,YEM,Sana'a,Asia,Yemeni
Zambia,ZMB,Lusaka,Africa,Zambian
Zimbabwe,ZWE,Harare,Africa,Zimbabwean
