United Kingdom,Japan,{'weight': 1}
Singapore,Indonesia,{'weight': 1}
Singapore,Malaysia,{'weight': 1}
Singapore,Philippines,{'weight': 1}
Singapore,Thailand,{'weight': 1}
Singapore,Vietnam,{'weight': 1}
Indonesia,Malaysia,{'weight': 1}
Indonesia,Philippines,{'weight': 1}
Indonesia,Thailand,{'weight': 1}
Indonesia,Vietnam,{'weight': 1}
Malaysia,Philippines,{'weight': 1}
Malaysia,Thailand,{'weight': 1}
Malaysia,Vietnam,{'weight': 1}
Philippines,Thailand,{'weight': 1}
Philippines,Vietnam,{'weight': 1}
Thailand,Vietnam,{'weight': 1}
Spain,Italy,{'weight': 1}
Spain,Netherlands,{'weight': 1}
Spain,Peru,{'weight': 1}
Spain,Australia,{'weight': 1}
Spain,Switzerland,{'weight': 1}
Spain,Sweden,{'weight': 1}
Spain,Canada,{'weight': 1}
Spain,Japan,{'weight': 1}
Japan,Netherlands,{'weight': 1}
Japan,Peru,{'weight': 1}
Japan,Australia,{'weight': 1}
Japan,Switzerland,{'weight': 1}
Japan,Sweden,{'weight': 1}
Japan,Canada,{'weight': 2}
Japan,South Korea,{'weight': 1}
Netherlands,Peru,{'weight': 1}
Netherlands,Australia,{'weight': 1}
Netherlands,Switzerland,{'weight': 1}
Netherlands,Sweden,{'weight': 1}
Netherlands,Canada,{'weight': 1}
Peru,Africa,{'weight': 1}
Peru,Ecuador,{'weight': 1}
Peru,Switzerland,{'weight': 1}
Peru,Sweden,{'weight': 1}
Peru,Canada,{'weight': 1}
Peru,Germany,{'weight': 1}
Peru,Australia,{'weight': 1}
Australia,Switzerland,{'weight': 1}
Australia,Sweden,{'weight': 1}
Australia,Canada,{'weight': 1}
Switzerland,Russia,{'weight': 1}
Switzerland,Sweden,{'weight': 1}
Switzerland,Canada,{'weight': 1}
Sweden,Canada,{'weight': 1}
Canada,Brazil,{'weight': 1}
India,Oman,{'weight': 1}
India,Pakistan,{'weight': 1}
India,Bangladesh,{'weight': 1}
Maldives,Africa,{'weight': 1}
Maldives,Austria,{'weight': 1}
Germany,Poland,{'weight': 1}
Germany,Pakistan,{'weight': 1}
Oman,Africa,{'weight': 1}
Oman,Iraq,{'weight': 1}
Oman,Armenia,{'weight': 1}
Oman,Turkey,{'weight': 1}
Africa,Asia,{'weight': 1}
Africa,Ghana,{'weight': 1}
Africa,Iraq,{'weight': 1}
Africa,Chad,{'weight': 1}
Africa,South America,{'weight': 1}
Russia,Asia,{'weight': 1}
Russia,Czech Republic (Czechia),{'weight': 1}
Nigeria,Niger,{'weight': 2}
Pakistan,Bangladesh,{'weight': 1}
Turkey,Armenia,{'weight': 1}
